1	14182
2	19611
3	11293
4	12136
5	25021
6	71442
7	29962
8	26015
9	26262
10	53533
11	18453
12	25829
13	23436
14	29571
15	18035
16	32196
17	75273
18	21539
19	347982
20	78953
21	50110
22	104050
23	108042
24	92113
25	71387
26	145743
27	131593
28	103081
29	121374
30	380398
1	57848
2	85290
3	52394
4	63651
5	94274
6	246872
7	101047
8	98084
9	94999
10	184103
11	74744
12	99184
13	76510
14	119027
15	68883
16	108247
17	239436
18	78072
19	1064326
20	265002
21	207328
22	378517
23	405987
24	348119
25	301995
26	517098
27	514247
28	415326
29	403754
30	1198792
1	147688
2	198204
3	133076
4	157298
5	204313
6	486775
7	213879
8	210542
9	203720
10	366141
11	171338
12	221244
13	171705
14	254440
15	160900
16	227900
17	450885
18	175567
19	1807644
20	486684
21	482706
22	758417
23	849358
24	760465
25	730536
26	1083030
27	1122074
28	966707
29	799880
30	2123127
1	574993
2	664401
3	524416
4	594052
5	666781
6	1198820
7	681382
8	681165
9	664528
10	970242
11	600087
12	696248
13	599431
14	763282
15	579097
16	705759
17	1148499
18	605500
19	3903192
20	1235441
21	1743000
22	2290350
23	2742475
24	2559264
25	2756539
26	3463319
27	3825837
28	3502678
29	2369353
30	5026525
