1	19203
2	11572
3	9077
4	10299
5	23929
6	70783
7	30143
8	25349
9	25632
10	52910
11	16723
12	25709
13	22815
14	28919
15	15606
16	29023
17	56711
18	19854
19	217023
20	58632
21	49427
22	103509
23	107340
24	91302
25	70518
26	138576
27	128622
28	102302
29	98767
30	245596
1	57008
2	68541
3	49937
4	55134
5	91490
6	244934
7	105780
8	96321
9	93116
10	181810
11	71195
12	98745
13	75669
14	117803
15	65621
16	105103
17	182762
18	76156
19	671812
20	203453
21	202811
22	367895
23	393695
24	340684
25	297766
26	506465
27	500299
28	410180
29	336040
30	796025
1	145505
2	183533
3	129337
4	138550
5	198539
6	460625
7	223206
8	206667
9	200077
10	351684
11	165491
12	215096
13	170227
14	246254
15	155531
16	219494
17	351108
18	171827
19	1157678
20	388718
21	478037
22	752296
23	840662
24	750852
25	723974
26	1070878
27	1107822
28	958235
29	697023
30	1453688
1	568248
2	759675
3	518046
4	537233
5	655474
6	1196281
7	718668
8	671162
9	656913
10	961791
11	590422
12	691719
13	596464
14	754201
15	569216
16	698107
17	955257
18	600092
19	2569755
20	1040716
21	1721769
22	2266669
23	2683849
24	2521835
25	2732374
26	3431479
27	3787853
28	3471179
29	2155115
30	3679035
